ZIPCODE,Avg Gross Income,Lat,Long,JSON-style lat/lon/money
35983,54316,34.189256,-85.76816,"34.189256, -85.76816, 54316"
35984,33015,34.557735,-85.5751,"34.557735, -85.5751, 33015"
35986,116549,34.500878,-85.83763,"34.500878, -85.83763, 116549"
35987,38414,33.9117,-86.24408,"33.9117, -86.24408, 38414"
35988,24697,34.56838,-85.79646,"34.56838, -85.79646, 24697"
35989,48744,34.5852,-85.65125,"34.5852, -85.65125, 48744"
36003,28440,32.439967,-86.68801,"32.439967, -86.68801, 28440"
36005,25452,31.859531,-85.75558,"31.859531, -85.75558, 25452"
36006,23188,32.65279,-86.7143,"32.65279, -86.7143, 23188"
36009,43624,31.579451,-86.3188,"31.579451, -86.3188, 43624"
36010,77177,31.678393,-85.82425,"31.678393, -85.82425, 77177"
36013,14203,32.295289,-85.99653,"32.295289, -85.99653, 14203"
36016,44571,31.843675,-85.43298,"31.843675, -85.43298, 44571"
36017,18969,31.692576,-85.55787,"31.692576, -85.55787, 18969"
36020,19671,32.496067,-86.33073,"32.496067, -86.33073, 19671"
36022,287354,32.612619,-86.39497,"32.612619, -86.39497, 287354"
36024,120217,32.697561,-86.016,"32.697561, -86.016, 120217"
36025,70656,32.538878,-86.33358,"32.538878, -86.33358, 70656"
36026,15036,32.776549,-86.0477,"32.776549, -86.0477, 15036"
